maintenance,2022/3/22,fs: allocate inode by using alloc_inode_sb(),-1,1,,message queue,v5.x
feature,2022/2/4,pc/sem: do not sleep with a spin lock held,-2,2,,semaphore,v5.x
bug semantic generic,2022/1/22,proc: remove PDE_DATA() completely,-1,1,error,other,v5.x
performance store optimization,2021/11/20,shm: extend forced shm destroy to support objects from several IPC nses,-46,143,,shared memory,v5.x
performance store optimization,2021/11/20,pc: WARN if trying to remove ipc object which is absent,-3,3,,other,v5.x
bug semantic logic,2021/11/9,pc/ipc_sysctl.c: remove fallback for !CONFIG_PROC_SYSCTL,-13,0,wrong,other,v5.x
maintenance,2021/11/9,pc: check checkpoint_restore_ns_capable() to modify C/R proc files,-6,23,,other,v5.x
bug concurrency wrongLock,2021/11/9,"mm,hugetlb: remove mlock ulimit for SHM_HUGETLB",-7,1,deadlock,shared memory,v5.x
reliability annotation,2021/9/14,pc: remove memcg accounting for sops objects in do_semtimedop(),-1,1,,semaphore,v5.x
performance access optimization,2021/9/9,Merge tag 'for-linus' of git://git.armlinux.org.uk/~rmk/linux-arm,-33,52,,semaphore,v5.x
performance other,2021/9/8,Merge branch 'akpm' (patches from Andrew),-12,4,,other,v5.x
performance speed optimization,2021/9/8,pc: replace costly bailout check in sysvipc_find_ipc(),-12,4,,other,v5.x
reliability corruption defense,2021/9/3,memcg: enable accounting of ipc resources,-6,7,,message semaphore shared memory,v5.x
reliability corruption defense,2021/9/3,memcg: enable accounting for new namesapces and struct nsproxy,-1,1,,other,v5.x
bug semantic state,2021/8/20,ARM: 9114/1: oabi-compat: rework sys_semtimedop emulation,-32,52,crash,semaphore,v5.x
performance store optimization,2021/7/2,Merge branch 'akpm' (patches from Andrew),-21,63,,message semaphore shared memory other,v5.x
feature,2021/7/1,pc/util.c: use binary search for max_idx,-5,42,,other,v5.x
feature,2021/7/1,pc/sem.c: use READ_ONCE()/WRITE_ONCE() for use_global_lock,-5,9,,semaphore,v5.x
feature,2021/7/1,pc: use kmalloc for msg_queue and shmid_kernel,-6,6,,message shared memory,v5.x
reliability corruption defense,2021/7/1,pc sem: use kvmalloc for sem_undo allocation,-5,6,,semaphore,v5.x
maintenance,2021/6/28,Merge branch 'for-linus' of ?,-32,34,,message queue shared memory,v5.x
reliability robust,2021/5/22,"pc/mqueue, msg, sem: avoid relying on a stack reference past its expiry",-6,12,,message queue message semaphore,v5.x
feature,2021/5/7,pc/sem.c: spelling fix,-1,1,,semaphore,v5.x
bug semantic generic,2021/5/7,pc/sem.c: mundane typo fixes,-5,5,wrong,semaphore,v5.x
bug concurrency atomicity,2021/4/30,Reimplement RLIMIT_MEMLOCK on top of ucounts,-13,13,leak,shared memory,v5.x
bug concurrency atomicity,2021/4/30,Reimplement RLIMIT_MSGQUEUE on top of ucounts,-19,21,leak,message queue,v5.x
reliability robust,2021/1/24,fs: make helpers idmap mount aware,-2,2,,message queue,v5.x
reliability robust,2021/1/24,namei: prepare for idmapped mounts,-1,2,,message queue,v5.x
reliability robust,2021/1/24,namei: make permission helpers idmapped mount aware,-1,1,,message queue,v5.x
feature,2020/12/15,Merge branch 'akpm' (patches from Andrew),-4,4,,shared memory,v5.x
feature,2020/12/15,vm_ops: rename .split() callback to .may_split(),-4,4,,shared memory,v5.x
feature,2020/12/14,Merge tag 'fixes-v5.11' of ?,-3,3,,other,v5.x
bug memory nullPointer,2020/9/5,pc: adjust proc_ipc_sem_dointvec definition to match prototype,-1,1,hang,other,v5.x
feature,2020/8/23,reewide: Use fallthrough pseudo-keyword,-4,4,,semaphore shared memory,v5.x
feature,2020/8/19,pc: Use generic ns_common::count,-3,3,,other,v5.x
bug semantic generic,2020/8/12,pc/shm.c: remove the superfluous break,-1,0,error,shared memory,v5.x
feature,2020/8/12,pc: uninline functions,-4,2,,semaphore shared memory,v5.x
bug errorCode missError,2020/8/7,mm: remove unnecessary wrapper function do_mmap_pgoff(),-1,1,wrong,shared memory,v5.x
performance synchronization,2020/6/9,mmap locking API: use coccinelle to convert mmap_sem rwsem call sites,-4,4,,shared memory,v5.x
feature,2020/6/8,pc/namespace.c: use a work queue to free_ipc,-2,22,,other,v5.x
performance other,2020/6/8,pc/msg: add missing annotation for freeque(),0,2,,message,v5.x
maintenance,2020/6/3,Merge git://git.kernel.org/pub/scm/linux/kernel/git/netdev/net-next,-7,7,,other,v5.x
performance synchronization,2020/6/3,Merge tag 'threads-v5.8' of ?,-4,3,,other,v5.x
maintenance,2020/5/15,Merge git://git.kernel.org/pub/scm/linux/kernel/git/netdev/net,-14,32,,message queue other,v5.x
bug memory bufOverflow,2020/5/14,pc/util.c: sysvipc_find_ipc() incorrectly updates position index,-6,6,corruption,other,v5.x
bug semantic config,2020/5/9,nsproxy: add struct nsset,-4,3,crash,other,v5.x
bug semantic logic,2020/5/7,pc/mqueue.c: change __do_notify() to bypass check_kill_permission(),-8,26,error,message queue,v5.x
reliability robust,2020/4/27,sysctl: pass kernel pointers to ->proc_handler,-7,7,,other,v5.x
bug memory uninitRead,2020/4/10,pc/util.c: sysvipc_find_ipc() should increase position index,-1,1,error,other,v5.x
performance synchronization,2020/4/7,pc/shm.c: make compat_ksys_shmctl() static,-1,1,,shared memory,v5.x
performance access optimization,2020/4/7,pc/mqueue.c: fix a brace coding style issue,-3,2,,message queue,v5.x
bug concurrency wrongLock,2020/4/7,proc: faster open/read/close with "permanent" files,0,1,leak,other,v5.x
maintenance,2020/2/21,"Revert ""ipc,sem: remove uneeded sem_undo_list lock usage in exit_sem()""",-4,2,,semaphore,v5.x
